"","Var1","Var2","form"
"1361","abReZe","Indicatif.Imparfait.vous","X-e.[3e]-je"
"1362","abwaje","Indicatif.Imparfait.vous","X-jje"
"1363","A~bwaR","Indicatif.Imparfait.vous","X-y.[wy]-vje"
"1364","A~bwe","Indicatif.Imparfait.vous","X-u.[uw]-je"
"1365","A~d0RmiR","Indicatif.Imparfait.vous","X-mje"
"1366","A~dYiR","Indicatif.Imparfait.vous","X-zje"
"1367","adZw3~dR","Indicatif.Imparfait.vous","X-a.[3a]-N.[~N]-je"
"1368","A~fYiR","Indicatif.Imparfait.vous","X-jje"
"1369","afilje","Indicatif.Imparfait.vous","X-i.[ij]-je"
"1370","A~fjevRe","Indicatif.Imparfait.vous","X-e.[3e]-ije"
"1371","A~fR3~dR","Indicatif.Imparfait.vous","X-N.[~N]-je"
"1372","agRee","Indicatif.Imparfait.vous","X-jje"
"1373","aiR","Indicatif.Imparfait.vous","X-a.[3a]-isje"
"1374","akeRiR","Indicatif.Imparfait.vous","X-eRje"
"1375","ak6jiR","Indicatif.Imparfait.vous","X-je"
"1376","akRwatR.1","Indicatif.Imparfait.vous","X-w.[wy]-asje"
"1377","akuRiR","Indicatif.Imparfait.vous","X-je"
"1378","ale.1","Indicatif.Imparfait.vous","X-a.[aiv]-lje"
"1379","apaR3tR","Indicatif.Imparfait.vous","X-3.[3y]-sje"
"1380","apA~dR","Indicatif.Imparfait.vous","X-dje"
"1381","apaRtEniR","Indicatif.Imparfait.vous","X-E.[3Ej]-n.[~3n]-je"
"1382","ap3RsEvwaR","Indicatif.Imparfait.vous","X-E.[Ewy]-vje"
"1383","apRA~dR","Indicatif.Imparfait.vous","X-Enje"
"1384","apR0pRije","Indicatif.Imparfait.vous","X-je"
"1385","asA~tiR","Indicatif.Imparfait.vous","X-tje"
"1386","asizEle","Indicatif.Imparfait.vous","X-E.[3El]-l.[3l]-je"
"1387","aswaR.1","Indicatif.Imparfait.vous","X-3jje"
"1388","atniR","Indicatif.Imparfait.vous","X-n.[3jn]-je"
"1389","A~tREm3tR","Indicatif.Imparfait.vous","X-3.[3i]-tje"
"1390","A~tREvwaR","Indicatif.Imparfait.vous","X-wajje"
"1391","A~tRuvRiR","Indicatif.Imparfait.vous","X-R.[3R]-je"
"1392","A~vwaje","Indicatif.Imparfait.vous","X-w.[3w]-a.[aR]-jje"
"1393","apstR3R","Indicatif.Imparfait.vous","X-jie"
"1394","apsudR","Indicatif.Imparfait.vous","X-0.[0u]-lvje"
"1395","aSve","Indicatif.Imparfait.vous","X-v.[3v]-je"
"1396","A~sYivR","Indicatif.Imparfait.vous","X-vje"
"1397","bujiR","Indicatif.Imparfait.vous","X-jje"
"1398","dediR","Indicatif.Imparfait.vous","X-zje"
"1399","defajiR","Indicatif.Imparfait.vous","X-je"
"1400","def3R","Indicatif.Imparfait.vous","X-Ezje"
"1401","dekRiR","Indicatif.Imparfait.vous","X-vje"
"1402","dekudR","Indicatif.Imparfait.vous","X-sje"
"1403","denwajote","Indicatif.Imparfait.vous","X-o.[0o]-je"
"1404","depl3R","Indicatif.Imparfait.vous","X-3.[3ay]-zje"
"1405","depuRvwaR","Indicatif.Imparfait.vous","X-w.[wy]-ajje"
"1406","des3RviR","Indicatif.Imparfait.vous","X-vje"
"1407","dev3tiR","Indicatif.Imparfait.vous","X-tje"
"1408","diR","Indicatif.Imparfait.vous","X-zje"
"1409","ekivalwar","Indicatif.Imparfait.vous","X-a.[ao]-lje"
"1410","3~klyR","Indicatif.Imparfait.vous","X-je"
"1411","eliR","Indicatif.Imparfait.vous","X-i.[iy]-zje"
"1412","emuvwaR","Indicatif.Imparfait.vous","X-uvje"
"1413","emudR","Indicatif.Imparfait.vous","X-lje"
"1414","3~teR0~pR","Indicatif.Imparfait.vous","X-pje"
"1415","3tR","Indicatif.Imparfait.vous","etje"
"1416","fajiR","Indicatif.Imparfait.vous","X-a.[ao]-jje"
"1417","fazeje","Indicatif.Imparfait.vous","X-e.[3e]-je"
"1418","futR","Indicatif.Imparfait.vous","X-tje"
"1419","k0~v3~kR","Indicatif.Imparfait.vous","X-je"
"1420","muRiR","Indicatif.Imparfait.vous","X-u.[06u]-je"
"1421","n3tR.1","Indicatif.Imparfait.vous","X-3.[3ae]-sje"
"1422","p3tR","Indicatif.Imparfait.vous","X-3.[3y]-sje"
"1423","pRevalwaR","Indicatif.Imparfait.vous","X-a.[ao]-lje"
"1424","pRevwaR","Indicatif.Imparfait.vous","X-w.[iwy]-ajje"
"1425","RavwaR","Indicatif.Imparfait.vous","X-avje"
"1426","REvivR","Indicatif.Imparfait.vous","X-i.[ei]-vje"
"1427","RezudR","Indicatif.Imparfait.vous","X-0.[0u]-lvje"
"1428","savwaR","Indicatif.Imparfait.vous","X-avje"
"1429","sEvRe","Indicatif.Imparfait.vous","X-E.[3E]-ije"
"1430","t3R","Indicatif.Imparfait.vous","X-3.[3y]-zje"
"1431","vulwaR","Indicatif.Imparfait.vous","X-ulje"
"1432","puvwaR","Indicatif.Imparfait.vous","X-uvje"
"1433","pl6vwaR","Indicatif.Imparfait.vous","X-6.[68y]-vje"
"1435","isiR","Indicatif.Imparfait.vous","X-je"
"1437","A~kl0R","Indicatif.Imparfait.vous","X-o.[0o]-zje"
"1438","RA~tR3R","Indicatif.Imparfait.vous","X-jie"
"1439","SoviR","Indicatif.Imparfait.vous","X-je"
"1440","dekl0R","Indicatif.Imparfait.vous","X-o.[0o]-zje"
"1441","suRdR","Indicatif.Imparfait.vous","X-dje"
"1442","ZeziR","Indicatif.Imparfait.vous","X-i.[ei]-zje"
"1452","aRdR","Indicatif.Imparfait.vous","X-j.[3jR]-e"
"1457","aute","Indicatif.Imparfait.ils.elles","X-3"
"1458","Ete","Indicatif.Imparfait.ils.elles","X-E.[3E]-3"
"1459","fwiR","Indicatif.Imparfait.ils.elles","X-s3"
"1460","abatR","Indicatif.Imparfait.ils.elles","X-t3"
"1461","A~bYe","Indicatif.Imparfait.ils.elles","X-Y.[yY]-3"
"1462","Able","Indicatif.Imparfait.ils.elles","X-3"
"1463","ablye","Indicatif.Imparfait.ils.elles","X-3"
"1464","A~bReje","Indicatif.Imparfait.ils.elles","X-e.[3e]-3"
"1465","abReZe","Indicatif.Imparfait.ils.elles","X-e.[3e]-3"
"1466","abwaje","Indicatif.Imparfait.ils.elles","X-j3"
"1467","A~bwaR","Indicatif.Imparfait.ils.elles","X-y.[wy]-v3"
"1468","A~bwe","Indicatif.Imparfait.ils.elles","X-w.[uw]-3"
"1469","A~d0RmiR","Indicatif.Imparfait.ils.elles","X-m3"
"1470","A~dYiR","Indicatif.Imparfait.ils.elles","X-z3"
"1471","adZw3~dR","Indicatif.Imparfait.ils.elles","X-a.[3a]-N.[~N]-3"
"1472","A~fYiR","Indicatif.Imparfait.ils.elles","X-j3"
"1473","afilje","Indicatif.Imparfait.ils.elles","X-j.[ij]-3"
"1474","A~fjevRe","Indicatif.Imparfait.ils.elles","X-e.[3e]-3"
"1475","A~fR3~dR","Indicatif.Imparfait.ils.elles","X-N.[~N]-3"
"1476","agRee","Indicatif.Imparfait.ils.elles","X-3"
"1477","aiR","Indicatif.Imparfait.ils.elles","X-a.[3a]-is3"
"1478","akeRiR","Indicatif.Imparfait.ils.elles","X-eR3"
"1479","ak6jiR","Indicatif.Imparfait.ils.elles","X-3"
"1480","akRwatR.1","Indicatif.Imparfait.ils.elles","X-w.[wy]-as3"
"1481","akuRiR","Indicatif.Imparfait.ils.elles","X-3"
"1482","ale.1","Indicatif.Imparfait.ils.elles","X-a.[aiv]-l3"
"1483","apaR3tR","Indicatif.Imparfait.ils.elles","X-3.[3y]-s3"
"1484","apA~dR","Indicatif.Imparfait.ils.elles","X-d3"
"1485","apaRtEniR","Indicatif.Imparfait.ils.elles","X-E.[3Ej]-n.[~3n]-3"
"1486","ap3RsEvwaR","Indicatif.Imparfait.ils.elles","X-E.[Ewy]-v3"
"1487","apRA~dR","Indicatif.Imparfait.ils.elles","X-En3"
"1488","apR0pRije","Indicatif.Imparfait.ils.elles","X-j3"
"1489","asA~tiR","Indicatif.Imparfait.ils.elles","X-t3"
"1490","asizEle","Indicatif.Imparfait.ils.elles","X-E.[3El]-l.[3l]-3"
"1491","aswaR.1","Indicatif.Imparfait.ils.elles","X-3j3"
"1492","atniR","Indicatif.Imparfait.ils.elles","X-n.[3jn]-3"
"1493","A~tREm3tR","Indicatif.Imparfait.ils.elles","X-3.[3i]-t3"
"1494","A~tREvwaR","Indicatif.Imparfait.ils.elles","X-waj3"
"1495","A~tRuvRiR","Indicatif.Imparfait.ils.elles","X-R.[3R]-3"
"1496","A~vwaje","Indicatif.Imparfait.ils.elles","X-w.[3w]-a.[aR]-j3"
"1497","apstR3R","Indicatif.Imparfait.ils.elles","X-j3"
"1498","apsudR","Indicatif.Imparfait.ils.elles","X-0.[0u]-lv3"
"1499","aSve","Indicatif.Imparfait.ils.elles","X-v.[3v]-3"
"1500","A~sYivR","Indicatif.Imparfait.ils.elles","X-v3"
"1501","bujiR","Indicatif.Imparfait.ils.elles","X-j3"
"1502","dediR","Indicatif.Imparfait.ils.elles","X-z3"
"1503","defajiR","Indicatif.Imparfait.ils.elles","X-3"
"1504","def3R","Indicatif.Imparfait.ils.elles","X-Ez3"
"1505","dekRiR","Indicatif.Imparfait.ils.elles","X-v3"
"1506","dekudR","Indicatif.Imparfait.ils.elles","X-s3"
"1507","denwajote","Indicatif.Imparfait.ils.elles","X-o.[0o]-3"
"1508","depl3R","Indicatif.Imparfait.ils.elles","X-3.[3ay]-z3"
"1509","depuRvwaR","Indicatif.Imparfait.ils.elles","X-w.[wy]-aj3"
"1510","des3RviR","Indicatif.Imparfait.ils.elles","X-v3"
"1511","dev3tiR","Indicatif.Imparfait.ils.elles","X-t3"
"1512","diR","Indicatif.Imparfait.ils.elles","X-z3"
"1513","ekivalwar","Indicatif.Imparfait.ils.elles","X-a.[ao]-l3"
"1514","3~klyR","Indicatif.Imparfait.ils.elles","X-3"
"1515","eliR","Indicatif.Imparfait.ils.elles","X-i.[iy]-z3"
"1516","emuvwaR","Indicatif.Imparfait.ils.elles","X-uv3"
"1517","emudR","Indicatif.Imparfait.ils.elles","X-l3"
"1518","3~teR0~pR","Indicatif.Imparfait.ils.elles","X-p3"
"1519","3tR","Indicatif.Imparfait.ils.elles","et3"
"1520","fajiR","Indicatif.Imparfait.ils.elles","X-a.[ao]-j3"
"1521","fazeje","Indicatif.Imparfait.ils.elles","X-3.[3e]-3"
"1522","futR","Indicatif.Imparfait.ils.elles","X-t3"
"1523","k0~v3~kR","Indicatif.Imparfait.ils.elles","X-3"
"1524","muRiR","Indicatif.Imparfait.ils.elles","X-u.[06u]-3"
"1525","n3tR.1","Indicatif.Imparfait.ils.elles","X-3.[3ae]-s3"
"1526","p3tR","Indicatif.Imparfait.ils.elles","X-3.[3y]-s3"
"1527","pRevalwaR","Indicatif.Imparfait.ils.elles","X-a.[ao]-l3"
"1528","pRevwaR","Indicatif.Imparfait.ils.elles","X-w.[iwy]-aj3"
"1529","RavwaR","Indicatif.Imparfait.ils.elles","X-av3"
"1530","REvivR","Indicatif.Imparfait.ils.elles","X-i.[ei]-v3"
"1531","RezudR","Indicatif.Imparfait.ils.elles","X-0.[0u]-lv3"
"1532","savwaR","Indicatif.Imparfait.ils.elles","X-av3"
"1533","sEvRe","Indicatif.Imparfait.ils.elles","X-E.[3E]-3"
"1534","t3R","Indicatif.Imparfait.ils.elles","X-3.[3y]-z3"
"1535","vulwaR","Indicatif.Imparfait.ils.elles","X-ul3"
"1536","puvwaR","Indicatif.Imparfait.ils.elles","X-uv3"
"1537","pl6vwaR","Indicatif.Imparfait.ils.elles","X-6.[68y]-v3"
"1539","isiR","Indicatif.Imparfait.ils.elles","X-3"
"1541","A~kl0R","Indicatif.Imparfait.ils.elles","X-o.[0o]-z3"
"1542","RA~tR3R","Indicatif.Imparfait.ils.elles","X-j3"
"1543","SoviR","Indicatif.Imparfait.ils.elles","X-3"
"1544","dekl0R","Indicatif.Imparfait.ils.elles","X-o.[0o]-z3"
"1545","suRdR","Indicatif.Imparfait.ils.elles","X-d3"
"1546","ZeziR","Indicatif.Imparfait.ils.elles","X-i.[ei]-z3"
"1548","advniR","Indicatif.Imparfait.ils.elles","X-n.[3jn]-3"
"1549","3~k0~be","Indicatif.Imparfait.ils.elles","X-3"
"1550","eSwaR","Indicatif.Imparfait.ils.elles","X-w.[ewy]-aj3"
"1552","swaR","Indicatif.Imparfait.ils.elles","X-3.[3jw]-j.[aej]-3"
"1556","aRdR","Indicatif.Imparfait.ils.elles","X-3.[3jR]-"
"1561","aute","Indicatif.Passesimple.je","X-e"
"1562","Ete","Indicatif.Passesimple.je","X-E.[3E]-e"
"1563","fwiR","Indicatif.Passesimple.je","X-"
"1564","abatR","Indicatif.Passesimple.je","X-ti"
"1565","A~bYe","Indicatif.Passesimple.je","X-Y.[yY]-e"
"1566","Able","Indicatif.Passesimple.je","X-e"
"1567","ablye","Indicatif.Passesimple.je","X-e"
"1568","A~bReje","Indicatif.Passesimple.je","X-e.[3e]-e"
"1569","abReZe","Indicatif.Passesimple.je","X-e.[3e]-e"
"1570","abwaje","Indicatif.Passesimple.je","X-je"
"1571","A~bwaR","Indicatif.Passesimple.je","X-y.[wy]-"
"1572","A~bwe","Indicatif.Passesimple.je","X-w.[uw]-e"
"1573","A~d0RmiR","Indicatif.Passesimple.je","X-mi"
"1574","A~dYiR","Indicatif.Passesimple.je","X-zi"
"1575","adZw3~dR","Indicatif.Passesimple.je","X-a.[3a]-N.[~N]-i"
"1576","A~fYiR","Indicatif.Passesimple.je","X-"
"1577","afilje","Indicatif.Passesimple.je","X-j.[ij]-e"
"1578","A~fjevRe","Indicatif.Passesimple.je","X-e.[3e]-e"
"1579","A~fR3~dR","Indicatif.Passesimple.je","X-N.[~N]-i"
"1580","agRee","Indicatif.Passesimple.je","X-e"
"1581","aiR","Indicatif.Passesimple.je","X-a.[3a]-i"
"1582","akeRiR","Indicatif.Passesimple.je","X-i"
"1583","ak6jiR","Indicatif.Passesimple.je","X-i"
"1584","akRwatR.1","Indicatif.Passesimple.je","X-y.[wy]-"
"1585","akuRiR","Indicatif.Passesimple.je","X-y"
"1586","ale.1","Indicatif.Passesimple.je","X-a.[aiv]-le"
"1587","apaR3tR","Indicatif.Passesimple.je","X-y.[3y]-"
"1588","apA~dR","Indicatif.Passesimple.je","X-di"
"1589","apaRtEniR","Indicatif.Passesimple.je","X-3.[3Ej]-~.[~3n]-"
"1590","ap3RsEvwaR","Indicatif.Passesimple.je","X-y.[Ewy]-"
"1591","apRA~dR","Indicatif.Passesimple.je","X-i"
"1592","apR0pRije","Indicatif.Passesimple.je","X-je"
"1593","asA~tiR","Indicatif.Passesimple.je","X-ti"
"1594","asizEle","Indicatif.Passesimple.je","X-E.[3El]-l.[3l]-e"
"1595","aswaR.1","Indicatif.Passesimple.je","X-i"
"1596","atniR","Indicatif.Passesimple.je","X-3.[3jn]-~"
"1597","A~tREm3tR","Indicatif.Passesimple.je","X-i.[3i]-"
"1598","A~tREvwaR","Indicatif.Passesimple.je","X-i"
"1599","A~tRuvRiR","Indicatif.Passesimple.je","X-R.[3R]-i"
"1600","A~vwaje","Indicatif.Passesimple.je","X-w.[3w]-a.[aR]-je"
"1601","apstR3R","Indicatif.Passesimple.je","X-je"
"1602","apsudR","Indicatif.Passesimple.je","X-0.[0u]-ly"
"1603","aSve","Indicatif.Passesimple.je","X-v.[3v]-e"
"1604","A~sYivR","Indicatif.Passesimple.je","X-vi"
"1605","bujiR","Indicatif.Passesimple.je","X-ji"
"1606","dediR","Indicatif.Passesimple.je","X-"
"1607","defajiR","Indicatif.Passesimple.je","X-i"
"1608","def3R","Indicatif.Passesimple.je","X-i"
"1609","dekRiR","Indicatif.Passesimple.je","X-vi"
"1610","dekudR","Indicatif.Passesimple.je","X-zi"
"1611","denwajote","Indicatif.Passesimple.je","X-o.[0o]-e"
"1612","depl3R","Indicatif.Passesimple.je","X-y.[3ay]-"
"1613","depuRvwaR","Indicatif.Passesimple.je","X-y.[wy]-"
"1614","des3RviR","Indicatif.Passesimple.je","X-vi"
"1615","dev3tiR","Indicatif.Passesimple.je","X-ti"
"1616","diR","Indicatif.Passesimple.je","X-"
"1617","ekivalwar","Indicatif.Passesimple.je","X-a.[ao]-ly"
"1618","3~klyR","Indicatif.Passesimple.je","X-"
"1619","eliR","Indicatif.Passesimple.je","X-y.[iy]-"
"1620","emuvwaR","Indicatif.Passesimple.je","X-y"
"1621","emudR","Indicatif.Passesimple.je","X-ly"
"1622","3~teR0~pR","Indicatif.Passesimple.je","X-pi"
"1623","3tR","Indicatif.Passesimple.je","fy"
"1624","fajiR","Indicatif.Passesimple.je","X-a.[ao]-ji"
"1625","fazeje","Indicatif.Passesimple.je","X-e.[3e]-e"
"1626","futR","Indicatif.Passesimple.je","X-ti"
"1627","k0~v3~kR","Indicatif.Passesimple.je","X-i"
"1628","muRiR","Indicatif.Passesimple.je","X-u.[06u]-y"
"1629","n3tR.1","Indicatif.Passesimple.je","X-a.[3ae]-ki"
"1630","p3tR","Indicatif.Passesimple.je","X-y.[3y]-"
"1631","pRevalwaR","Indicatif.Passesimple.je","X-a.[ao]-ly"
"1632","pRevwaR","Indicatif.Passesimple.je","X-i.[iwy]-"
"1633","RavwaR","Indicatif.Passesimple.je","X-y"
"1634","REvivR","Indicatif.Passesimple.je","X-e.[ei]-ky"
"1635","RezudR","Indicatif.Passesimple.je","X-0.[0u]-ly"
"1636","savwaR","Indicatif.Passesimple.je","X-y"
"1637","sEvRe","Indicatif.Passesimple.je","X-E.[3E]-e"
"1638","t3R","Indicatif.Passesimple.je","X-y.[3y]-"
"1639","vulwaR","Indicatif.Passesimple.je","X-uly"
"1640","puvwaR","Indicatif.Passesimple.je","X-y"
"1642","deSwaR","Indicatif.Passesimple.je","X-y.[wy]-"
"1643","isiR","Indicatif.Passesimple.je","X-i"
"1644","SwaR","Indicatif.Passesimple.je","X-y.[wy]-"
"1647","SoviR","Indicatif.Passesimple.je","X-i"
"1665","aute","Indicatif.Passesimple.tu","X-a"
"1666","Ete","Indicatif.Passesimple.tu","X-E.[3E]-a"
"1667","fwiR","Indicatif.Passesimple.tu","X-"
"1668","abatR","Indicatif.Passesimple.tu","X-ti"
"1669","A~bYe","Indicatif.Passesimple.tu","X-Y.[yY]-a"
"1670","Able","Indicatif.Passesimple.tu","X-a"
"1671","ablye","Indicatif.Passesimple.tu","X-a"
"1672","A~bReje","Indicatif.Passesimple.tu","X-e.[3e]-a"
"1673","abReZe","Indicatif.Passesimple.tu","X-e.[3e]-a"
"1674","abwaje","Indicatif.Passesimple.tu","X-ja"
"1675","A~bwaR","Indicatif.Passesimple.tu","X-y.[wy]-"
"1676","A~bwe","Indicatif.Passesimple.tu","X-w.[uw]-a"
"1677","A~d0RmiR","Indicatif.Passesimple.tu","X-mi"
"1678","A~dYiR","Indicatif.Passesimple.tu","X-zi"
"1679","adZw3~dR","Indicatif.Passesimple.tu","X-a.[3a]-N.[~N]-i"
"1680","A~fYiR","Indicatif.Passesimple.tu","X-"
"1681","afilje","Indicatif.Passesimple.tu","X-j.[ij]-a"
"1682","A~fjevRe","Indicatif.Passesimple.tu","X-e.[3e]-a"
"1683","A~fR3~dR","Indicatif.Passesimple.tu","X-N.[~N]-i"
"1684","agRee","Indicatif.Passesimple.tu","X-a"
"1685","aiR","Indicatif.Passesimple.tu","X-a.[3a]-i"
"1686","akeRiR","Indicatif.Passesimple.tu","X-i"
"1687","ak6jiR","Indicatif.Passesimple.tu","X-i"
"1688","akRwatR.1","Indicatif.Passesimple.tu","X-y.[wy]-"
"1689","akuRiR","Indicatif.Passesimple.tu","X-y"
"1690","ale.1","Indicatif.Passesimple.tu","X-a.[aiv]-la"
"1691","apaR3tR","Indicatif.Passesimple.tu","X-y.[3y]-"
"1692","apA~dR","Indicatif.Passesimple.tu","X-di"
"1693","apaRtEniR","Indicatif.Passesimple.tu","X-3.[3Ej]-~.[~3n]-"
"1694","ap3RsEvwaR","Indicatif.Passesimple.tu","X-y.[Ewy]-"
"1695","apRA~dR","Indicatif.Passesimple.tu","X-i"
"1696","apR0pRije","Indicatif.Passesimple.tu","X-ja"
"1697","asA~tiR","Indicatif.Passesimple.tu","X-ti"
"1698","asizEle","Indicatif.Passesimple.tu","X-E.[3El]-l.[3l]-a"
"1699","aswaR.1","Indicatif.Passesimple.tu","X-i"
"1700","atniR","Indicatif.Passesimple.tu","X-3.[3jn]-~"
"1701","A~tREm3tR","Indicatif.Passesimple.tu","X-i.[3i]-"
"1702","A~tREvwaR","Indicatif.Passesimple.tu","X-i"
"1703","A~tRuvRiR","Indicatif.Passesimple.tu","X-R.[3R]-i"
"1704","A~vwaje","Indicatif.Passesimple.tu","X-w.[3w]-a.[aR]-ja"
"1705","apstR3R","Indicatif.Passesimple.tu","X-ja"
"1706","apsudR","Indicatif.Passesimple.tu","X-0.[0u]-ly"
"1707","aSve","Indicatif.Passesimple.tu","X-v.[3v]-a"
"1708","A~sYivR","Indicatif.Passesimple.tu","X-vi"
"1709","bujiR","Indicatif.Passesimple.tu","X-ji"
"1710","dediR","Indicatif.Passesimple.tu","X-"
"1711","defajiR","Indicatif.Passesimple.tu","X-i"
"1712","def3R","Indicatif.Passesimple.tu","X-i"
"1713","dekRiR","Indicatif.Passesimple.tu","X-vi"
"1714","dekudR","Indicatif.Passesimple.tu","X-zi"
"1715","denwajote","Indicatif.Passesimple.tu","X-o.[0o]-a"
"1716","depl3R","Indicatif.Passesimple.tu","X-y.[3ay]-"
"1717","depuRvwaR","Indicatif.Passesimple.tu","X-y.[wy]-"
"1718","des3RviR","Indicatif.Passesimple.tu","X-vi"
"1719","dev3tiR","Indicatif.Passesimple.tu","X-ti"
"1720","diR","Indicatif.Passesimple.tu","X-"
"1721","ekivalwar","Indicatif.Passesimple.tu","X-a.[ao]-ly"
"1722","3~klyR","Indicatif.Passesimple.tu","X-"
"1723","eliR","Indicatif.Passesimple.tu","X-y.[iy]-"
"1724","emuvwaR","Indicatif.Passesimple.tu","X-y"
"1725","emudR","Indicatif.Passesimple.tu","X-ly"
"1726","3~teR0~pR","Indicatif.Passesimple.tu","X-pi"
"1727","3tR","Indicatif.Passesimple.tu","fy"
"1728","fajiR","Indicatif.Passesimple.tu","X-a.[ao]-ji"
"1729","fazeje","Indicatif.Passesimple.tu","X-3.[3e]-a"
"1730","futR","Indicatif.Passesimple.tu","X-ti"
"1731","k0~v3~kR","Indicatif.Passesimple.tu","X-i"
"1732","muRiR","Indicatif.Passesimple.tu","X-u.[06u]-y"
"1733","n3tR.1","Indicatif.Passesimple.tu","X-a.[3ae]-ki"
"1734","p3tR","Indicatif.Passesimple.tu","X-y.[3y]-"
"1735","pRevalwaR","Indicatif.Passesimple.tu","X-a.[ao]-ly"
"1736","pRevwaR","Indicatif.Passesimple.tu","X-i.[iwy]-"
"1737","RavwaR","Indicatif.Passesimple.tu","X-y"
"1738","REvivR","Indicatif.Passesimple.tu","X-e.[ei]-ky"
"1739","RezudR","Indicatif.Passesimple.tu","X-0.[0u]-ly"
"1740","savwaR","Indicatif.Passesimple.tu","X-y"
"1741","sEvRe","Indicatif.Passesimple.tu","X-E.[3E]-a"
"1742","t3R","Indicatif.Passesimple.tu","X-y.[3y]-"
"1743","vulwaR","Indicatif.Passesimple.tu","X-uly"
"1744","puvwaR","Indicatif.Passesimple.tu","X-y"
"1746","deSwaR","Indicatif.Passesimple.tu","X-y.[wy]-"
"1747","isiR","Indicatif.Passesimple.tu","X-i"
"1748","SwaR","Indicatif.Passesimple.tu","X-y.[wy]-"
"1751","SoviR","Indicatif.Passesimple.tu","X-i"
"1753","suRdR","Indicatif.Passesimple.tu","X-di"
"1769","aute","Indicatif.Passesimple.il.elle.on","X-a"
"1770","Ete","Indicatif.Passesimple.il.elle.on","X-E.[3E]-a"
"1771","fwiR","Indicatif.Passesimple.il.elle.on","X-"
"1772","abatR","Indicatif.Passesimple.il.elle.on","X-ti"
"1773","A~bYe","Indicatif.Passesimple.il.elle.on","X-Y.[yY]-a"
"1774","Able","Indicatif.Passesimple.il.elle.on","X-a"
"1775","ablye","Indicatif.Passesimple.il.elle.on","X-a"
"1776","A~bReje","Indicatif.Passesimple.il.elle.on","X-e.[3e]-a"
"1777","abReZe","Indicatif.Passesimple.il.elle.on","X-e.[3e]-a"
"1778","abwaje","Indicatif.Passesimple.il.elle.on","X-ja"
"1779","A~bwaR","Indicatif.Passesimple.il.elle.on","X-y.[wy]-"
"1780","A~bwe","Indicatif.Passesimple.il.elle.on","X-w.[uw]-a"
"1781","A~d0RmiR","Indicatif.Passesimple.il.elle.on","X-mi"
"1782","A~dYiR","Indicatif.Passesimple.il.elle.on","X-zi"
"1783","adZw3~dR","Indicatif.Passesimple.il.elle.on","X-a.[3a]-N.[~N]-i"
"1784","A~fYiR","Indicatif.Passesimple.il.elle.on","X-"
"1785","afilje","Indicatif.Passesimple.il.elle.on","X-j.[ij]-a"
"1786","A~fjevRe","Indicatif.Passesimple.il.elle.on","X-e.[3e]-a"
"1787","A~fR3~dR","Indicatif.Passesimple.il.elle.on","X-N.[~N]-i"
"1788","agRee","Indicatif.Passesimple.il.elle.on","X-a"
"1789","aiR","Indicatif.Passesimple.il.elle.on","X-a.[3a]-i"
"1790","akeRiR","Indicatif.Passesimple.il.elle.on","X-i"
"1791","ak6jiR","Indicatif.Passesimple.il.elle.on","X-i"
"1792","akRwatR.1","Indicatif.Passesimple.il.elle.on","X-y.[wy]-"
"1793","akuRiR","Indicatif.Passesimple.il.elle.on","X-y"
"1794","ale.1","Indicatif.Passesimple.il.elle.on","X-a.[aiv]-la"
"1795","apaR3tR","Indicatif.Passesimple.il.elle.on","X-y.[3y]-"
"1796","apA~dR","Indicatif.Passesimple.il.elle.on","X-di"
"1797","apaRtEniR","Indicatif.Passesimple.il.elle.on","X-3.[3Ej]-~.[~3n]-"
"1798","ap3RsEvwaR","Indicatif.Passesimple.il.elle.on","X-y.[Ewy]-"
"1799","apRA~dR","Indicatif.Passesimple.il.elle.on","X-i"
"1800","apR0pRije","Indicatif.Passesimple.il.elle.on","X-ja"
"1801","asA~tiR","Indicatif.Passesimple.il.elle.on","X-ti"
"1802","asizEle","Indicatif.Passesimple.il.elle.on","X-E.[3El]-l.[3l]-a"
"1803","aswaR.1","Indicatif.Passesimple.il.elle.on","X-i"
"1804","atniR","Indicatif.Passesimple.il.elle.on","X-3.[3jn]-~"
"1805","A~tREm3tR","Indicatif.Passesimple.il.elle.on","X-i.[3i]-"
"1806","A~tREvwaR","Indicatif.Passesimple.il.elle.on","X-i"
"1807","A~tRuvRiR","Indicatif.Passesimple.il.elle.on","X-R.[3R]-i"
"1808","A~vwaje","Indicatif.Passesimple.il.elle.on","X-w.[3w]-a.[aR]-ja"
"1809","apstR3R","Indicatif.Passesimple.il.elle.on","X-ja"
"1810","apsudR","Indicatif.Passesimple.il.elle.on","X-0.[0u]-ly"
"1811","aSve","Indicatif.Passesimple.il.elle.on","X-v.[3v]-a"
"1812","A~sYivR","Indicatif.Passesimple.il.elle.on","X-vi"
"1813","bujiR","Indicatif.Passesimple.il.elle.on","X-ji"
"1814","dediR","Indicatif.Passesimple.il.elle.on","X-"
"1815","defajiR","Indicatif.Passesimple.il.elle.on","X-i"
"1816","def3R","Indicatif.Passesimple.il.elle.on","X-i"
"1817","dekRiR","Indicatif.Passesimple.il.elle.on","X-vi"
"1818","dekudR","Indicatif.Passesimple.il.elle.on","X-zi"
"1819","denwajote","Indicatif.Passesimple.il.elle.on","X-o.[0o]-a"
"1820","depl3R","Indicatif.Passesimple.il.elle.on","X-y.[3ay]-"
