"","Var1","Var2","form"
"115","A~bwaR","Participe.Present","X-y.[wy]-vA~"
"116","A~bwe","Participe.Present","X-w.[uw]-A~"
"117","A~d0RmiR","Participe.Present","X-mA~"
"118","A~dYiR","Participe.Present","X-zA~"
"119","adZw3~dR","Participe.Present","X-a.[3a]-N.[~N]-A~"
"120","A~fYiR","Participe.Present","X-jA~"
"121","afilje","Participe.Present","X-j.[ij]-A~"
"122","A~fjevRe","Participe.Present","X-e.[3e]-A~"
"123","A~fR3~dR","Participe.Present","X-N.[~N]-A~"
"124","agRee","Participe.Present","X-A~"
"125","aiR","Participe.Present","X-a.[3a]-isA~"
"126","akeRiR","Participe.Present","X-eRA~"
"127","ak6jiR","Participe.Present","X-A~"
"128","akRwatR.1","Participe.Present","X-w.[wy]-asA~"
"129","akuRiR","Participe.Present","X-A~"
"130","ale.1","Participe.Present","X-a.[aiv]-lA~"
"131","apaR3tR","Participe.Present","X-3.[3y]-sA~"
"132","apA~dR","Participe.Present","X-dA~"
"133","apaRtEniR","Participe.Present","X-E.[3Ej]-n.[~3n]-A~"
"134","ap3RsEvwaR","Participe.Present","X-E.[Ewy]-vA~"
"135","apRA~dR","Participe.Present","X-EnA~"
"136","apR0pRije","Participe.Present","X-jA~"
"137","asA~tiR","Participe.Present","X-tA~"
"138","asizEle","Participe.Present","X-E.[3El]-l.[3l]-A~"
"139","aswaR.1","Participe.Present","X-3jA~"
"140","atniR","Participe.Present","X-n.[3jn]-A~"
"141","A~tREm3tR","Participe.Present","X-3.[3i]-tA~"
"142","A~tREvwaR","Participe.Present","X-wajA~"
"143","A~tRuvRiR","Participe.Present","X-R.[3R]-A~"
"144","A~vwaje","Participe.Present","X-w.[3w]-a.[aR]-jA~"
"145","apstR3R","Participe.Present","X-jA~"
"146","apsudR","Participe.Present","X-0.[0u]-lvA~"
"147","aSve","Participe.Present","X-v.[3v]-A~"
"148","A~sYivR","Participe.Present","X-vA~"
"149","bujiR","Participe.Present","X-jA~"
"150","dediR","Participe.Present","X-zA~"
"151","defajiR","Participe.Present","X-A~"
"152","def3R","Participe.Present","X-EzA~"
"153","dekRiR","Participe.Present","X-vA~"
"154","dekudR","Participe.Present","X-zA~"
"155","denwajote","Participe.Present","X-o.[0o]-A~"
"156","depl3R","Participe.Present","X-3.[3ay]-zA~"
"157","depuRvwaR","Participe.Present","X-w.[wy]-ajA~"
"158","des3RviR","Participe.Present","X-vA~"
"159","dev3tiR","Participe.Present","X-tA~"
"160","diR","Participe.Present","X-zA~"
"161","ekivalwar","Participe.Present","X-a.[ao]-lA~"
"162","3~klyR","Participe.Present","X-A~"
"163","eliR","Participe.Present","X-i.[iy]-zA~"
"164","emuvwaR","Participe.Present","X-uvA~"
"165","emudR","Participe.Present","X-lA~"
"166","3~teR0~pR","Participe.Present","X-pA~"
"167","3tR","Participe.Present","etA~"
"168","fajiR","Participe.Present","X-a.[ao]-jA~"
"169","fazeje","Participe.Present","X-e.[3e]-A~"
"170","futR","Participe.Present","X-tA~"
"171","k0~v3~kR","Participe.Present","X-A~"
"172","muRiR","Participe.Present","X-u.[06u]-A~"
"173","n3tR.1","Participe.Present","X-3.[3ae]-sA~"
"174","p3tR","Participe.Present","X-3.[3y]-sA~"
"175","pRevalwaR","Participe.Present","X-a.[ao]-lA~"
"176","pRevwaR","Participe.Present","X-w.[iwy]-ajA~"
"177","RavwaR","Participe.Present","X-3jA~"
"178","REvivR","Participe.Present","X-i.[ei]-vA~"
"179","RezudR","Participe.Present","X-0.[0u]-lvA~"
"180","savwaR","Participe.Present","X-aSA~"
"181","sEvRe","Participe.Present","X-E.[3E]-A~"
"182","t3R","Participe.Present","X-3.[3y]-zA~"
"183","vulwaR","Participe.Present","X-ulA~"
"184","puvwaR","Participe.Present","X-uvA~"
"185","pl6vwaR","Participe.Present","X-6.[68y]-vA~"
"186","deSwaR","Participe.Present","X-w.[wy]-ajA~"
"187","isiR","Participe.Present","X-A~"
"189","A~kl0R","Participe.Present","X-o.[0o]-zA~"
"190","RA~tR3R","Participe.Present","X-jA~"
